Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
749,490.06,0,0
750,206.87,0,0
751,455.1,123.63,0
752,388.6,0,0
753,453.92,0,0
754,173.2,89.9,0
755,277.61,230.58,165.36
756,1038.32,94.81,0
757,351.77,314.34,288.77
758,158.63,0,0
759,290.1,0,0
760,83.54,0,0
761,305.23,163.92,147.17
762,421.29,0,0
763,60.82,0,0
764,1066.25,0,0
765,157.81,0,0
766,299.66,80.67,0
767,62.65,0,0
768,411.66,0,0
769,137.23,0,0
770,155.64,0,0
771,121.28,0,0
772,103.46,0,0
773,126.77,0,0
774,145.34,53.59,0
775,221.42,0,0
776,420.54,77.3,0
777,210.87,181.66,0
778,447.42,261.59,182.12
779,574.51,337.46,273.37
780,511.78,359.69,351.52
781,605.07,0,0
782,414.51,0,0
783,344.36,314.34,186.68
784,147.3,0,0
785,95.97,0,0
786,907.43,0,0
787,490.36,0,0
788,325.41,237.85,203.85
789,128.55,0,0
790,497.47,0,0
791,663.64,0,0
792,306.34,159.01,94.63
793,159.93,97.8,0
794,682.64,56.5,0
795,89.88,0,0
796,938.67,0,0
797,252.67,0,0
798,198.5,0,0
799,1127.6,0,0
800,231.9,0,0
801,187.4,0,0
802,312.66,113.85,0
803,147.51,0,0
804,639.76,0,0
805,280.27,0,0
806,86.42,0,0
807,149.29,0,0
808,102.23,0,0
809,117.66,103.02,43.51
810,323.04,0,0
811,852.14,0,0
812,1071.77,0,0
813,584.3,0,0
814,83.58,0,0
815,90.91,0,0
816,195.18,140.84,119.58
817,317.28,261.44,143.58
818,793,0,0
819,533.05,0,0
820,47.04,0,0
821,715.06,112.81,0
822,99.79,0,0
823,267.33,157.26,110.53
824,65.54,59.67,0
825,258.6,253.24,217.9
826,88.78,0,0
827,435.91,0,0
828,692.65,0,0
829,328.49,292.15,202.46
830,122.22,0,0
831,603.18,495.58,427.58
832,984.23,0,0
833,90.13,0,0
834,199.56,0,0
835,850.27,0,0
836,170.87,0,0
837,643.29,0,0
838,105.19,0,0
839,275.29,127.12,0
840,781.21,0,0
841,617.28,0,0
842,949.15,0,0
843,643.22,335.98,0
844,440.86,0,0
845,579.77,69.3,0
846,159.16,0,0
847,107.33,0,0
848,185.49,0,0
849,221.95,113.52,0
850,94.02,0,0
851,909.35,0,0
852,547.58,0,0
853,827.24,0,0
854,260.64,0,0
855,326.63,0,0
856,292.22,158.72,105.65
857,506.97,120.69,0
858,209.82,85.36,0
859,704.43,0,0
860,93.39,0,0
861,730.97,0,0
862,100.94,0,0
863,184.82,0,0
864,841.14,96.5,83.24
865,164.36,0,0
866,146.43,99.67,0
867,149.06,126.44,0
868,300.04,119.44,94.93
869,309.2,0,0
870,459.05,290.96,234
871,611.43,0,0
872,471.01,0,0
873,658.48,0,0
874,97.43,79.29,0
875,303.65,126.79,0
876,272.3,0,0
877,123.91,0,0
878,765.71,0,0
879,122.86,0,0
880,626.66,89.1,0
881,485.79,0,0
882,354.16,247.83,156.48
883,575.31,0,0
884,431.05,0,0
885,148.94,0,0
886,99.5,90.58,0
887,355.13,151.47,0
888,399.54,0,0
889,209.68,0,0
890,260.75,0,0
891,475.7,0,0
892,261.38,96.9,0
893,773.92,0,0
894,205.39,80.83,0
895,184.63,0,0
896,360.04,305.05,231.53
897,541.46,0,0
898,332.62,0,0
899,247.56,180.88,0
900,96.7,0,0
901,752.04,0,0
902,452.17,0,0
903,345.05,92.46,0
904,361.77,70.97,0
905,290.99,280.43,262.51
906,488.47,0,0
907,281.59,0,0
908,525.62,0,0
909,153.6,107.4,0
910,306.21,85.98,0
911,119.79,0,0
912,229.52,0,0
913,524.52,0,0
914,490.16,0,0
915,738.17,0,0
916,191.81,0,0
917,104.66,0,0
918,280.29,258,199.38
919,564.26,0,0
920,206.07,0,0
921,90.54,0,0
922,235.36,0,0
923,395.51,212.75,0
924,344.82,308.37,184.03
925,635.34,0,0
926,96.4,93.17,0
927,157.15,94.64,0
928,214.6,0,0
929,259.41,0,0
930,1151.65,0,0
931,326.06,0,0
932,134.23,112.51,87.51
933,857.1,105.2,0
934,775.36,0,0
935,480.37,0,0
936,304.72,259.03,195.05
937,163.04,108.5,0
938,119.26,0,0
939,485.43,0,0
940,868.14,100.8,0
941,123.95,0,0
942,1001.92,0,0
943,111.37,0,0
944,604.95,0,0
945,501.93,0,0
946,168.62,0,0
947,479.79,0,0
948,108.07,0,0
949,618.55,0,0
950,434.6,0,0
951,82.03,0,0
952,117.92,0,0
953,413.96,129.46,90.47
954,247.83,218.96,206.66
955,185.52,0,0
956,990.54,0,0
957,263.87,124.36,95.42
958,181.94,0,0
959,90.91,0,0
960,158.82,0,0
961,220.72,185.75,136.63
962,112.32,0,0
963,169.83,0,0
964,285.45,138.39,91.08
965,1016.86,0,0
966,494.65,0,0
967,202.6,86.73,0
968,741.38,0,0
969,98.08,62.85,0
970,91.33,0,0
