Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm),Event Type
394.69,0.0,0.0,1
104.06,0.0,0.0,0
412.95,0.0,0.0,1
867.95,0.0,0.0,1
122.49,0.0,0.0,0
201.77,177.99,0.0,0
55.68,0.0,0.0,0
195.86,0.0,0.0,0
128.97,91.24,0.0,0
133.69,0.0,0.0,0
318.38,0.0,0.0,0
429.79,0.0,0.0,1
291.18,0.0,0.0,1
328.1,89.39,0.0,1
182.09,0.0,0.0,0
91.95,0.0,0.0,0
877.27,0.0,0.0,1
135.95,115.3,83.29,0
157.89,0.0,0.0,1
222.0,139.41,117.3,0
350.22,136.62,0.0,0
931.14,234.74,0.0,1
219.62,0.0,0.0,1
147.07,0.0,0.0,0
169.3,0.0,0.0,0
797.38,0.0,0.0,1
654.93,0.0,0.0,1
485.94,0.0,0.0,1
373.72,0.0,0.0,0
371.67,80.45,0.0,1
168.22,128.79,0.0,0
130.91,0.0,0.0,0
907.58,0.0,0.0,1
177.77,0.0,0.0,0
508.18,45.01,0.0,1
260.16,144.39,0.0,1
262.68,0.0,0.0,0
112.77,0.0,0.0,0
525.68,200.75,0.0,1
143.33,0.0,0.0,0
728.38,347.32,94.37,1
406.33,67.9,0.0,1
84.48,68.39,0.0,0
620.64,0.0,0.0,1
162.36,0.0,0.0,0
308.85,0.0,0.0,0
546.58,0.0,0.0,0
584.52,0.0,0.0,1
729.47,0.0,0.0,1
142.93,0.0,0.0,0
710.82,102.47,0.0,1
454.89,0.0,0.0,1
550.64,0.0,0.0,1
164.71,0.0,0.0,0
682.47,151.48,0.0,1
479.52,126.39,0.0,1
941.27,0.0,0.0,1
276.41,0.0,0.0,0
284.03,254.58,0.0,0
160.94,118.33,0.0,0
162.09,0.0,0.0,0
324.48,0.0,0.0,0
95.56,0.0,0.0,0
155.78,0.0,0.0,0
176.65,0.0,0.0,0
167.5,0.0,0.0,0
1293.2,76.66,0.0,1
185.77,0.0,0.0,0
494.61,217.79,0.0,1
338.82,142.97,0.0,1
79.97,0.0,0.0,0
349.03,95.85,0.0,1
284.02,123.72,0.0,1
810.28,0.0,0.0,1
62.26,0.0,0.0,0
192.18,114.09,0.0,0
429.17,248.04,0.0,1
539.42,347.52,53.15,1
376.82,0.0,0.0,1
551.55,210.87,0.0,1
758.35,0.0,0.0,1
344.85,0.0,0.0,0
88.31,0.0,0.0,0
676.24,289.47,0.0,1
196.08,0.0,0.0,0
347.52,174.01,0.0,1
892.07,189.2,0.0,1
952.99,0.0,0.0,1
183.0,0.0,0.0,0
310.84,98.43,0.0,1
229.06,0.0,0.0,0
937.52,0.0,0.0,1
472.2,120.39,0.0,0
864.17,0.0,0.0,1
339.7,0.0,0.0,1
156.65,0.0,0.0,1
185.35,0.0,0.0,1
95.93,0.0,0.0,0
603.52,0.0,0.0,1
132.32,0.0,0.0,0
227.15,171.64,0.0,1
209.43,117.05,0.0,1
271.38,0.0,0.0,0
231.51,193.66,154.61,0
321.14,126.21,0.0,1
123.1,0.0,0.0,0
106.87,0.0,0.0,0
501.12,0.0,0.0,1
301.97,96.46,0.0,1
347.41,0.0,0.0,1
229.33,0.0,0.0,0
110.36,0.0,0.0,0
654.38,0.0,0.0,1
120.47,76.93,0.0,0
142.33,0.0,0.0,0
82.23,0.0,0.0,0
